x,y,z,nx,ny,nz,ox,oy,oz,ax,ay,az
0.12365466,-0.17254785,0.27560204,0.2777429,0.949906,0.14330924,-0.9594063,0.26667297,0.09178775,0.048973028,-0.16298518,0.98541236
0.13897376,0.27066565,0.1104346,-0.9488731,0.13768828,0.28404543,0.22433187,-0.3389135,0.9136809,0.22206998,0.93068767,0.29069802
-0.1449806,0.18451333,0.08939105,-0.50744414,-0.71779585,0.47672802,0.41094035,0.2846922,0.8660706,-0.75738263,0.63538927,0.1505059
0.07605722,-0.1922449,0.1813907,0.27045196,0.795525,0.54221374,-0.9626709,0.21704566,0.16172773,0.01097331,-0.565713,0.82452923
0.009038734,-0.24163361,0.10503791,0.668249,0.109865874,0.73578036,-0.70528865,0.40820003,0.5796039,-0.23666689,-0.9062573,0.3502664
-0.09019734,0.05325105,-0.07693496,-0.5669586,-0.7572616,0.32421115,-0.4524798,0.61517996,0.6456126,-0.6883458,0.21933663,-0.6914272
0.08058231,-0.2020708,0.18477948,0.19257343,0.80567986,0.56017447,-0.9811979,0.16559751,0.09913709,-0.012890746,-0.56873316,0.8224211
-0.0061755385,-0.17065583,0.122862354,0.50965065,0.3817576,0.7710495,-0.78043294,0.5823778,0.22750944,-0.36218864,-0.7177028,0.5947454
0.05719759,-0.19482882,0.16085023,0.330474,0.7099673,0.62187886,-0.9406115,0.30199188,0.15508366,-0.077698044,-0.6361975,0.7676039
0.027026031,-0.18908052,0.22331204,0.28370857,0.8637885,0.41638798,-0.9508488,0.3096049,0.005597667,-0.12408056,-0.3975101,0.9091698
0.03513988,-0.26839316,0.18765993,0.94126374,0.12030905,0.31551284,-0.3175495,0.63311195,0.70592606,-0.11482565,-0.7646535,0.6341294
-0.21531095,0.060221612,0.14809407,-0.0012341586,-0.86873245,0.49528012,0.40015084,0.45347035,0.79639435,-0.9164485,0.19916962,0.34706435
0.04625196,-0.040204726,0.36226985,0.9590706,0.14285338,-0.24449214,-0.21283558,0.93316734,-0.2896545,0.18677397,0.32983574,0.92537767
