x,y,z,nx,ny,nz,ox,oy,oz,ax,ay,az
0.35418278,0.037312753,0.23334499,-0.26369837,0.9180375,0.29609185,-0.26939648,-0.36483324,0.8912476,0.9262228,0.15525442,0.34352198
-0.11967833,0.0060122926,-0.07940934,0.5906872,0.7748093,-0.22529784,0.68364286,-0.6288722,-0.37034056,-0.42862687,0.06473217,-0.90115964
-0.042838268,0.021028,0.35069,-0.79752547,0.58461154,-0.14893788,-0.59438294,-0.80369014,0.028126007,-0.10325712,0.11095735,0.9884465
-0.06644507,-0.07667263,-0.104840636,0.7273467,-0.67884094,-0.10070581,-0.6521696,-0.72940445,0.20650427,-0.21363883,-0.08452294,-0.9732494
0.2050211,-0.22408308,-0.014549742,0.47830746,-0.5333209,0.69770396,-0.7830297,-0.61869586,0.06387454,0.3976009,-0.57687455,-0.7135329
0.22692063,-0.14603028,-0.011130166,-0.24763541,-0.9005465,0.35734126,-0.8277743,0.005001251,-0.561039,0.5034545,-0.434731,-0.7466877
0.10837005,-0.008759659,0.40581477,-0.9353774,0.18990378,0.2983382,-0.17602873,-0.9816765,0.072973534,0.30672956,0.015741697,0.95166653
0.26127988,0.17757532,0.13752638,-0.1041996,0.67418855,0.73117185,0.8191473,-0.35875958,0.44753695,0.5640392,0.6455706,-0.5148771
-0.022593042,-0.11810613,0.18951698,0.7929489,-0.6044823,-0.076375164,-0.2103969,-0.38929883,0.8967606,-0.57180864,-0.69501626,-0.43587527
0.088079944,-0.002670295,0.3843264,-0.1421712,0.98917913,0.03622217,-0.96883714,-0.14655975,0.19968683,0.20283476,-0.0067036655,0.97919005
-0.059742272,0.07701328,0.33105117,-0.70675236,-0.50160867,-0.49888858,0.044724543,-0.73545027,0.676101,-0.70604587,0.45552343,0.54221547
0.18472011,-0.18514961,0.30050004,0.42723912,0.58075184,0.6929603,-0.7334731,-0.2255172,0.641217,0.52866244,-0.7822207,0.3296161
0.112026595,0.17661911,0.024406103,0.9951235,-0.08009017,0.057573743,-0.04662862,-0.8963297,-0.44092953,0.08691917,0.43609476,-0.89569324
0.053102203,0.25633338,0.030344576,0.06661405,-0.65722656,-0.7507435,-0.9977228,-0.035902534,-0.057098404,0.010572991,0.7528375,-0.6581215
0.07544182,0.17157553,0.34676266,-0.5828931,-0.72299963,0.37081963,0.8112259,-0.49177763,0.3163342,-0.046348695,0.4852075,0.8731698
0.18636881,-0.2717898,0.13081709,-0.097690724,-0.1670821,0.98109126,-0.8964617,-0.4133584,-0.15965974,0.43221858,-0.89510804,-0.10940143
0.053286154,0.015281115,-0.007793775,0.67552584,0.26355767,-0.6886234,-0.26567563,-0.78419733,-0.5607593,-0.68780905,0.56175786,-0.4597247
0.09152838,-0.19620936,0.32544854,-0.53004915,0.37233007,0.7618518,-0.8399615,-0.35370305,-0.41153228,0.11624347,-0.8580585,0.5002229
0.0545203,0.17452514,0.2351741,-0.8895628,-0.14099096,-0.43451077,-0.4479137,0.08237138,0.8902743,-0.08972937,0.98657817,-0.1364263
0.058595542,0.12820603,0.39369917,0.83382994,0.5350545,-0.13581002,-0.5518903,0.8026467,-0.22621982,-0.012032465,0.2635811,0.9645622
-0.094862595,0.18642592,0.28715816,-0.487266,0.013924218,-0.87314254,-0.62911135,-0.6990449,0.33993408,-0.6056325,0.7149422,0.3493807
